id,filepath,duration,class_label
1400066,./assets/audio_train/1400066_apples.wav,0.7593197278911564,apples
1400062,./assets/audio_train/1400062_flowers.wav,0.7773242630385487,flowers
1400049,./assets/audio_train/1400049_worker.wav,0.5173242630385487,worker
1400051,./assets/audio_train/1400051_water.wav,0.4800907029478458,water
1400049,./assets/audio_train/1400049_father.wav,0.44807256235827664,father
1410066,./assets/audio_train/1410066_apples.wav,0.37197278911564624,apples
1410062,./assets/audio_train/1410062_flowers.wav,0.38789115646258504,flowers
1410049,./assets/audio_train/1410049_worker.wav,0.46616780045351475,worker
1410051,./assets/audio_train/1410051_water.wav,0.3166893424036281,water
1410049,./assets/audio_train/1410049_father.wav,0.2908843537414966,father
1580066,./assets/audio_train/1580066_apples.wav,0.6132879818594105,apples
1580062,./assets/audio_train/1580062_flowers.wav,0.8241269841269842,flowers
1580049,./assets/audio_train/1580049_worker.wav,0.5513378684807256,worker
1580051,./assets/audio_train/1580051_water.wav,0.48975056689342406,water
1580049,./assets/audio_train/1580049_father.wav,0.3629478458049887,father
1630066,./assets/audio_train/1630066_apples.wav,0.8024489795918367,apples
1630062,./assets/audio_train/1630062_flowers.wav,0.6245351473922902,flowers
1630049,./assets/audio_train/1630049_worker.wav,0.5939682539682539,worker
1630051,./assets/audio_train/1630051_water.wav,0.47551020408163264,water
1630049,./assets/audio_train/1630049_father.wav,0.38752834467120184,father
1850066,./assets/audio_train/1850066_apples.wav,0.5658956916099773,apples
1850062,./assets/audio_train/1850062_flowers.wav,0.613514739229025,flowers
1850049,./assets/audio_train/1850049_worker.wav,0.6347845804988662,worker
1850051,./assets/audio_train/1850051_water.wav,0.5272108843537415,water
1850049,./assets/audio_train/1850049_father.wav,0.5424489795918367,father
1910066,./assets/audio_train/1910066_apples.wav,0.551156462585034,apples
1910062,./assets/audio_train/1910062_flowers.wav,0.483718820861678,flowers
1910049,./assets/audio_train/1910049_worker.wav,0.5087074829931972,worker
1910051,./assets/audio_train/1910051_water.wav,0.3943764172335601,water
1910049,./assets/audio_train/1910049_father.wav,0.40453514739229024,father
1950066,./assets/audio_train/1950066_apples.wav,0.5782312925170068,apples
1950062,./assets/audio_train/1950062_flowers.wav,0.590204081632653,flowers
1950049,./assets/audio_train/1950049_worker.wav,0.45387755102040817,worker
1950051,./assets/audio_train/1950051_water.wav,0.5682086167800453,water
1950049,./assets/audio_train/1950049_father.wav,0.5502040816326531,father
1970066,./assets/audio_train/1970066_apples.wav,0.45102040816326533,apples
1970062,./assets/audio_train/1970062_flowers.wav,0.5755102040816327,flowers
1970049,./assets/audio_train/1970049_worker.wav,0.5121995464852608,worker
1970051,./assets/audio_train/1970051_water.wav,0.3612698412698413,water
1970049,./assets/audio_train/1970049_father.wav,0.3113832199546485,father
