id,filepath,duration,class_label
30034,./assets/audio_test/30034_apples.wav,0.41678004535147395,apples
30008,./assets/audio_test/30008_flowers.wav,0.5308390022675737,flowers
30009,./assets/audio_test/30009_worker.wav,0.4964172335600907,worker
30095,./assets/audio_test/30095_water.wav,0.2503401360544218,water
30009,./assets/audio_test/30009_father.wav,0.3695691609977324,father
60066,./assets/audio_test/60066_apples.wav,2.881043083900227,apples
60062,./assets/audio_test/60062_flowers.wav,0.4777777777777778,flowers
60049,./assets/audio_test/60049_worker.wav,0.3465759637188209,worker
60051,./assets/audio_test/60051_water.wav,0.5001360544217687,water
60049,./assets/audio_test/60049_father.wav,0.37183673469387757,father
70066,./assets/audio_test/70066_apples.wav,0.536780045351474,apples
70062,./assets/audio_test/70062_flowers.wav,0.6250340136054422,flowers
70049,./assets/audio_test/70049_worker.wav,0.4941950113378685,worker
70051,./assets/audio_test/70051_water.wav,0.37873015873015875,water
70049,./assets/audio_test/70049_father.wav,0.5032199546485261,father
80066,./assets/audio_test/80066_apples.wav,0.5254421768707483,apples
80062,./assets/audio_test/80062_flowers.wav,0.6070748299319728,flowers
80049,./assets/audio_test/80049_worker.wav,0.4928344671201814,worker
80197,./assets/audio_test/80197_water.wav,0.6326984126984126,water
80049,./assets/audio_test/80049_father.wav,0.44272108843537417,father
590066,./assets/audio_test/590066_apples.wav,0.42984126984126986,apples
590062,./assets/audio_test/590062_flowers.wav,0.5270294784580499,flowers
590049,./assets/audio_test/590049_worker.wav,0.4528344671201814,worker
590051,./assets/audio_test/590051_water.wav,0.3710657596371882,water
590049,./assets/audio_test/590049_father.wav,0.38494331065759635,father
1160066,./assets/audio_test/1160066_apples.wav,0.3890702947845805,apples
1160062,./assets/audio_test/1160062_flowers.wav,0.32213151927437644,flowers
1160049,./assets/audio_test/1160049_worker.wav,0.4636281179138322,worker
1160051,./assets/audio_test/1160051_water.wav,0.28956916099773244,water
1160049,./assets/audio_test/1160049_father.wav,0.3597732426303855,father
1440066,./assets/audio_test/1440066_apples.wav,0.5494784580498866,apples
1440062,./assets/audio_test/1440062_flowers.wav,0.570702947845805,flowers
1440049,./assets/audio_test/1440049_worker.wav,0.48643990929705216,worker
1440051,./assets/audio_test/1440051_water.wav,0.4308843537414966,water
1440049,./assets/audio_test/1440049_father.wav,0.40244897959183673,father
1470066,./assets/audio_test/1470066_apples.wav,0.47183673469387755,apples
1470062,./assets/audio_test/1470062_flowers.wav,0.48766439909297055,flowers
1470049,./assets/audio_test/1470049_worker.wav,0.39365079365079364,worker
1470051,./assets/audio_test/1470051_water.wav,0.36707482993197277,water
1470049,./assets/audio_test/1470049_father.wav,0.43510204081632653,father
1480066,./assets/audio_test/1480066_apples.wav,0.5146031746031746,apples
1480062,./assets/audio_test/1480062_flowers.wav,0.8485714285714285,flowers
1480049,./assets/audio_test/1480049_worker.wav,0.5312925170068027,worker
1480051,./assets/audio_test/1480051_water.wav,0.4454421768707483,water
1480049,./assets/audio_test/1480049_father.wav,0.5464399092970521,father
